columna,dist_real_cm,MSE,RMSE,Error_relativo_%
dist_5cm,5.0,0.4593326666666664,0.6777408550963018,13.554817101926037
dist_10cm,10.0,2.3700886666666676,1.5395092291593018,15.395092291593018
dist_20cm,20.0,3.2006333333333328,1.7890313952900136,8.945156976450068
dist_30cm,30.0,0.30912333333333364,0.555988608996024,1.85329536332008
dist_40cm,40.0,0.6447893333333343,0.8029877541615029,2.0074693854037573
dist_50cm,50.0,1.618021333333331,1.272014674967758,2.544029349935516
dist_60cm,60.0,3.3152973333333318,1.8207957967145387,3.034659661190898
dist_70cm,70.0,24.231285999999997,4.922528415357294,7.032183450510421
dist_80cm,80.0,17.191160000000004,4.146222377056012,5.182777971320015
TOTAL,,5.926636888888888,2.434468502340683,6.616609061294423
